"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2695354,"August 30, 2023",Illinois,Peoria,"2217 W Marquette Ave",1,4,0,0,0,N/A
2695977,"August 30, 2023",Texas,Houston,"2800 block of Chimney Rock Rd",0,4,0,0,0,N/A
2694045,"August 29, 2023","New York",Rochester,"15 Savannah St",0,4,0,0,0,N/A
2692290,"August 27, 2023",Ohio,Mansfield,"137 Blymyer Ave",1,3,0,0,2,N/A
2691802,"August 27, 2023",Kentucky,Louisville,"301 Market St",2,4,0,0,1,N/A
2692120,"August 27, 2023",Michigan,Detroit,"11644 Cloverdale St",1,4,0,0,0,N/A
2691769,"August 27, 2023",Ohio,Cleveland,"11500 block of St Mark Ave",0,4,0,0,0,N/A
2692512,"August 27, 2023",Colorado,Pueblo,"1200 block of Berwind Ave",1,3,0,0,0,N/A
2691275,"August 26, 2023",Utah,Orem,"360 S State St",0,5,0,5,5,N/A
2690924,"August 26, 2023",Massachusetts,Boston,"10 Talbot Ave",0,7,0,1,3,N/A
2692026,"August 26, 2023",Mississippi,Ripley,"100 block of Peacock Holler",0,4,0,0,1,N/A
2690914,"August 25, 2023",Florida,Tallahassee,"1303 Ocala Rd",0,4,0,0,0,N/A
2690809,"August 25, 2023",California,Pasadena,"151 E Orange Grove Blvd",0,5,0,0,0,N/A
2690239,"August 24, 2023",Ohio,Hartville,"13305 Carnation Ave NW",4,0,1,0,0,N/A
2688942,"August 23, 2023",California,"Trabuco Canyon","19152 Santiago Canyon Rd",3,5,1,0,0,N/A
2688888,"August 23, 2023",Ohio,"Warren (Howland)","Highlawn Ave SE",0,4,1,0,0,N/A
2688256,"August 22, 2023",Illinois,Chicago,"1521 S Trumbull Ave",1,3,0,0,0,N/A
2686943,"August 21, 2023",Pennsylvania,"Upper Darby","635 Long Lane",1,3,0,0,0,N/A
2687693,"August 21, 2023","New York","Valley Stream","89 Ocean Ave",1,3,0,0,3,N/A
